run,target,users,mean_user_probability_recovery,median_user_probability_recovery,fraction_users_harmed,mean_reuse_probability_gap,mean_method_probability_gap
v13_observed_queries64_01,3,8,0.16620174795389175,0.45855602622032166,0.25,0.007220863830298125,0.0028308276087045123
v13_observed_queries64_01,4,8,0.7583069503307343,0.7307494580745697,0.0,0.029295362764969413,0.007887505576945775
v13_observed_queries64_01,5,8,-0.2517447918653488,0.6965253055095673,0.25,0.009518255828879737,0.0070745341945438875
v13_observed_queries_canary_01,1,8,-11.171587213873863,-0.9171342253684998,0.625,0.005081432289443875,0.012456295662559524
v13_observed_queries_canary_01,2,8,-0.8790956810116768,0.6001023054122925,0.125,0.008673484087921637,0.004807188175618612
v13_observed_queries_canary_01,3,8,0.33273105323314667,0.5278367400169373,0.125,0.007220863830298125,0.0025241824332624127
v13_observed_queries_canary_01,4,8,0.6282698288559914,0.7792557775974274,0.125,0.029295362764969413,0.005136277060955725
v13_observed_queries_canary_01,5,8,0.4947264641523361,0.5983899235725403,0.125,0.009518255828879737,0.005021206801757163
v9_stratified_calibration_canary_01,1,8,-9.569197654724121,-0.1824373602867126,0.625,0.005081432289443875,0.010727665852755237
v9_stratified_calibration_canary_01,2,8,-1.1578089147806165,0.4887145757675171,0.25,0.008673484087921637,0.006132001755759104
v9_stratified_calibration_canary_01,3,8,-0.0091167613863945,0.7172791659832001,0.25,0.007220863830298125,0.0019164211116730625
v9_stratified_calibration_canary_01,4,8,0.7922306656837463,0.7980103194713593,0.0,0.029295362764969413,0.0053582529071717995
v9_stratified_calibration_canary_01,5,8,0.1500261425971985,0.6915426850318909,0.125,0.009518255828879737,0.005345198558643426
v9_stratified_source64_01,1,8,-5.099555470049381,0.44623529911041254,0.375,0.005081432289443875,0.00552465661894525
v9_stratified_source64_01,2,8,0.5904345735907555,0.6809050440788269,0.125,0.008673484087921637,0.002882349421270125
v9_stratified_source64_01,3,8,-0.6562956795096397,0.6367228627204895,0.375,0.007220863830298125,0.0024646595120429247
v9_stratified_source64_01,4,8,0.7635072320699692,0.7544668018817902,0.0,0.029295362764969413,0.006502053583972113
v9_stratified_source64_01,5,8,0.4458075910806656,0.5642262697219849,0.25,0.009518255828879737,0.004991316120140201
v9_stratified_stable64_01,1,8,-1.0932017490267756,0.7481565475463867,0.25,0.005081432289443875,0.0021696503972634187
v9_stratified_stable64_01,2,8,0.3394259065389633,0.6353077292442322,0.125,0.008673484087921637,0.0030048111220821122
v9_stratified_stable64_01,3,8,0.0952162891626358,0.650974303483963,0.375,0.007220863830298125,0.0023598254192620004
v9_stratified_stable64_01,4,8,0.7880979478359222,0.77633336186409,0.0,0.029295362764969413,0.00732419849373395
v9_stratified_stable64_01,5,8,-0.004297100007534027,0.5437788665294647,0.25,0.009518255828879737,0.006870653247460674
convergence_six_pass64_02,1,8,-1.0921885520219803,0.7485323548316956,0.25,0.005081432289443875,0.0021684904349967508
convergence_six_pass64_02,2,8,0.34221822023391724,0.6379640102386475,0.125,0.008673484087921637,0.0029861365910619
convergence_six_pass64_02,3,8,0.0952233076095581,0.6509570181369781,0.375,0.007220863830298125,0.0023517298977821623
convergence_six_pass64_02,4,8,0.7911788746714592,0.7895499765872955,0.0,0.029295362764969413,0.007336460170336037
convergence_six_pass64_02,5,8,0.005229651927947998,0.5374936759471893,0.25,0.009518255828879737,0.006867777090519625
v14_source_kernel64_01,1,8,-0.4801849126815796,0.2002058029174804,0.375,0.005081432289443875,0.0035203781444579
v14_source_kernel64_01,2,8,0.4405076876282692,0.6627450585365295,0.125,0.008673484087921637,0.003112162812612912
v14_source_kernel64_01,3,8,0.4151288643479347,0.5268733501434326,0.125,0.007220863830298125,0.0031806369079276247
v14_source_kernel64_01,4,8,0.523594580590725,0.8202152252197266,0.125,0.029295362764969413,0.006971918395720349
v14_source_kernel64_01,5,8,0.25572652369737625,0.5179035067558289,0.25,0.009518255828879737,0.0065433033742010255
v14_source_kernel_canary_01,1,8,-7.107584550976753,-1.0910022556781769,0.5,0.005081432289443875,0.009321032324805825
v14_source_kernel_canary_01,2,8,0.2663336768746376,0.3781020939350128,0.375,0.008673484087921637,0.005326317274011626
